area,cx,cy,heatCondition,numbers
Sunderland,-1.3814,54.9081,Electric only,5844
Sunderland,-1.3814,54.9081,Oil only,144
Sunderland,-1.3814,54.9081,Wood only,46
Sunderland,-1.3814,54.9081,Solid fuel only,240
Sunderland,-1.3814,54.9081,Renewable energy only,253
Sunderland,-1.3814,54.9081,District or communal heat networks only,1567
Sunderland,-1.3814,54.9081,Other central heating only,1542
Sunderland,-1.3814,54.9081,Two or more types (no renewable energy),12811
Sunderland,-1.3814,54.9081,Two or more types (including renewable energy),812
Swansea,-3.9436,51.6214,Does not apply,0
Swansea,-3.9436,51.6214,No central heating,974
Swansea,-3.9436,51.6214,Mains gas only,84262
Swansea,-3.9436,51.6214,Tank or bottled gas only,1066
Swansea,-3.9436,51.6214,Electric only,5872
Swansea,-3.9436,51.6214,Oil only,1959
Swansea,-3.9436,51.6214,Wood only,97
Swansea,-3.9436,51.6214,Solid fuel only,331
Swansea,-3.9436,51.6214,Renewable energy only,255
Swansea,-3.9436,51.6214,District or communal heat networks only,576
Swansea,-3.9436,51.6214,Other central heating only,720
Swansea,-3.9436,51.6214,Two or more types (no renewable energy),8440
Swansea,-3.9436,51.6214,Two or more types (including renewable energy),407
Wakefield,-1.4975,53.681,Does not apply,0
Wakefield,-1.4975,53.681,No central heating,1501
Wakefield,-1.4975,53.681,Mains gas only,125136
Wakefield,-1.4975,53.681,Tank or bottled gas only,683
Wakefield,-1.4975,53.681,Electric only,7930
Wakefield,-1.4975,53.681,Oil only,547
Wakefield,-1.4975,53.681,Wood only,93
Wakefield,-1.4975,53.681,Solid fuel only,985
Wakefield,-1.4975,53.681,Renewable energy only,303
Wakefield,-1.4975,53.681,District or communal heat networks only,991
Wakefield,-1.4975,53.681,Other central heating only,1070
Wakefield,-1.4975,53.681,Two or more types (no renewable energy),13120
Wakefield,-1.4975,53.681,Two or more types (including renewable energy),716
Westminster,-0.142,51.497,Does not apply,0
Westminster,-0.142,51.497,No central heating,3680
Westminster,-0.142,51.497,Mains gas only,53249
Westminster,-0.142,51.497,Tank or bottled gas only,742
Westminster,-0.142,51.497,Electric only,17561
Westminster,-0.142,51.497,Oil only,446
Westminster,-0.142,51.497,Wood only,4
Westminster,-0.142,51.497,Solid fuel only,27
Westminster,-0.142,51.497,Renewable energy only,184
Westminster,-0.142,51.497,District or communal heat networks only,8076
Westminster,-0.142,51.497,Other central heating only,2579
Westminster,-0.142,51.497,Two or more types (no renewable energy),8049
Westminster,-0.142,51.497,Two or more types (including renewable energy),218
Winchester,-1.308,51.063,Does not apply,0
Winchester,-1.308,51.063,No central heating,467
Winchester,-1.308,51.063,Mains gas only,35535
Winchester,-1.308,51.063,Tank or bottled gas only,1303
Winchester,-1.308,51.063,Electric only,3986
Winchester,-1.308,51.063,Oil only,3921
Winchester,-1.308,51.063,Wood only,157
Winchester,-1.308,51.063,Solid fuel only,89
Winchester,-1.308,51.063,Renewable energy only,488
Winchester,-1.308,51.063,District or communal heat networks only,99
Winchester,-1.308,51.063,Other central heating only,193
Winchester,-1.308,51.063,Two or more types (no renewable energy),4784
Winchester,-1.308,51.063,Two or more types (including renewable energy),693
Wolverhampton,-2.129,52.586,Does not apply,0
Wolverhampton,-2.129,52.586,No central heating,1863
Wolverhampton,-2.129,52.586,Mains gas only,80484
Wolverhampton,-2.129,52.586,Tank or bottled gas only,440
Wolverhampton,-2.129,52.586,Electric only,10465
Wolverhampton,-2.129,52.586,Oil only,65
Wolverhampton,-2.129,52.586,Wood only,29
Wolverhampton,-2.129,52.586,Solid fuel only,53
Wolverhampton,-2.129,52.586,Renewable energy only,60
Wolverhampton,-2.129,52.586,District or communal heat networks only,771
Wolverhampton,-2.129,52.586,Other central heating only,1501
Wolverhampton,-2.129,52.586,Two or more types (no renewable energy),9123
Wolverhampton,-2.129,52.586,Two or more types (including renewable energy),288
Worcester,-2.22,52.19,Does not apply,0
Worcester,-2.22,52.19,No central heating,698
Worcester,-2.22,52.19,Mains gas only,35559
Worcester,-2.22,52.19,Tank or bottled gas only,129
Worcester,-2.22,52.19,Electric only,4337
Worcester,-2.22,52.19,Oil only,69
Worcester,-2.22,52.19,Wood only,14
Worcester,-2.22,52.19,Solid fuel only,6
Worcester,-2.22,52.19,Renewable energy only,50
Worcester,-2.22,52.19,District or communal heat networks only,179
Worcester,-2.22,52.19,Other central heating only,294
Worcester,-2.22,52.19,Two or more types (no renewable energy),3220
Worcester,-2.22,52.19,Two or more types (including renewable energy),167
Wrexham,-3.004,53.047,Does not apply,0
Wrexham,-3.004,53.047,No central heating,560
Wrexham,-3.004,53.047,Mains gas only,43121
Wrexham,-3.004,53.047,Tank or bottled gas only,807
Wrexham,-3.004,53.047,Electric only,2945
Wrexham,-3.004,53.047,Oil only,4012
Wrexham,-3.004,53.047,Wood only,143
Wrexham,-3.004,53.047,Solid fuel only,201
Wrexham,-3.004,53.047,Renewable energy only,191
Wrexham,-3.004,53.047,District or communal heat networks only,83
Wrexham,-3.004,53.047,Other central heating only,306
Wrexham,-3.004,53.047,Two or more types (no renewable energy),5276
Wrexham,-3.004,53.047,Two or more types (including renewable energy),269
York,-1.0822,53.959,Does not apply,0
York,-1.0822,53.959,No central heating,1056
York,-1.0822,53.959,Mains gas only,66964
York,-1.0822,53.959,Tank or bottled gas only,473
York,-1.0822,53.959,Electric only,7794
York,-1.0822,53.959,Oil only,950
York,-1.0822,53.959,Wood only,59
York,-1.0822,53.959,Solid fuel only,63
York,-1.0822,53.959,Renewable energy only,274
York,-1.0822,53.959,District or communal heat networks only,586
York,-1.0822,53.959,Other central heating only,413
York,-1.0822,53.959,Two or more types (no renewable energy),6413
York,-1.0822,53.959,Two or more types (including renewable energy),415
